Count Length
424 35
485 36
545 37
581 38
671 39
663 40
714 41
644 42
683 43
677 44
650 45
658 46
635 47
587 48
586 49
530 50
505 51
519 52
502 53
468 54
458 55
506 56
470 57
442 58
539 59
512 60
469 61
556 62
490 63
471 64
488 65
489 66
534 67
494 68
556 69
619 70
576 71
564 72
599 73
576 74
523 75
526 76
563 77
547 78
515 79
510 80
479 81
488 82
492 83
481 84
518 85
527 86
505 87
508 88
496 89
547 90
540 91
498 92
522 93
538 94
531 95
880 96
2070 97
6253 98
4067 99
25839 100
254685 101
