Count Length
9898 35
9043 36
8219 37
7353 38
6384 39
6172 40
5421 41
5238 42
5037 43
4995 44
4869 45
4893 46
4971 47
4912 48
4961 49
4874 50
5152 51
5086 52
5412 53
5461 54
5516 55
5810 56
5799 57
6150 58
6518 59
6639 60
6978 61
7030 62
7129 63
7351 64
7451 65
7688 66
8043 67
8045 68
8402 69
8855 70
9225 71
9441 72
9670 73
9784 74
10110 75
10401 76
11774 77
11357 78
11829 79
12159 80
12719 81
13335 82
14124 83
14866 84
15752 85
16698 86
17198 87
18231 88
18843 89
20029 90
21245 91
22094 92
22973 93
24580 94
27584 95
40564 96
85185 97
301060 98
63502 99
520935 100
9839944 101
