Name	Count	Type	Strand
r__no_feature	545242	no_feature	reverse
r__ambiguous	110748	ambiguous	reverse
r__too_low_aQual	11903	too_low_aQual	reverse
r__not_aligned	210603	not_aligned	reverse
r__alignment_not_unique	310692	not_unique	reverse
s__no_feature	6060634	no_feature	stranded
s__ambiguous	5733	ambiguous	stranded
s__too_low_aQual	11903	too_low_aQual	stranded
s__not_aligned	210603	not_aligned	stranded
s__alignment_not_unique	310692	not_unique	stranded
n__no_feature	476344	no_feature	unstranded
n__ambiguous	322167	ambiguous	unstranded
n__too_low_aQual	11903	too_low_aQual	unstranded
n__not_aligned	210603	not_aligned	unstranded
n__alignment_not_unique	310692	not_unique	unstranded
